X  :  Y 
123.0 : 123.0
123.0 : 169.0
123.0 : 215.0
123.0 : 261.0
123.0 : 307.0
123.0 : 353.0
169.0 : 399.0
215.0 : 399.0
261.0 : 399.0
307.0 : 399.0
353.0 : 399.0
399.0 : 399.0
445.0 : 399.0
491.0 : 399.0
537.0 : 399.0
583.0 : 399.0
629.0 : 399.0
675.0 : 399.0
721.0 : 399.0
767.0 : 399.0
813.0 : 399.0
713.0 : 299.0
813.0 : 353.0
813.0 : 307.0
813.0 : 261.0
813.0 : 215.0
813.0 : 169.0
767.0 : 123.0
767.0 : 169.0
767.0 : 215.0
767.0 : 261.0
767.0 : 307.0
767.0 : 353.0
721.0 : 353.0
721.0 : 307.0
721.0 : 261.0
721.0 : 215.0
721.0 : 169.0
675.0 : 123.0
675.0 : 169.0
675.0 : 215.0
675.0 : 261.0
675.0 : 307.0
675.0 : 353.0
629.0 : 353.0
629.0 : 307.0
629.0 : 261.0
629.0 : 215.0
629.0 : 169.0
583.0 : 123.0
583.0 : 169.0
583.0 : 215.0
583.0 : 261.0
583.0 : 307.0
583.0 : 353.0
537.0 : 353.0
537.0 : 307.0
537.0 : 261.0
537.0 : 215.0
537.0 : 169.0
491.0 : 123.0
491.0 : 169.0
491.0 : 215.0
491.0 : 261.0
491.0 : 307.0
491.0 : 353.0
445.0 : 353.0
445.0 : 307.0
445.0 : 261.0
445.0 : 215.0
445.0 : 169.0
399.0 : 123.0
399.0 : 169.0
399.0 : 215.0
399.0 : 261.0
399.0 : 307.0
399.0 : 353.0
353.0 : 353.0
353.0 : 307.0
353.0 : 261.0
353.0 : 215.0
353.0 : 169.0
307.0 : 123.0
307.0 : 169.0
307.0 : 215.0
307.0 : 261.0
307.0 : 307.0
307.0 : 353.0
261.0 : 353.0
261.0 : 307.0
261.0 : 261.0
261.0 : 215.0
261.0 : 169.0
215.0 : 123.0
215.0 : 169.0
215.0 : 215.0
215.0 : 261.0
215.0 : 307.0
215.0 : 353.0
